web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw,rooms,area,price
1662023695-433,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=39,"3,5 Zimmer, 122 m², CHF 3180.—","Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",CHF 3180.—,"«Grosse Galerie, Terrasse mit Pergola, Berg- und Seesicht»","3,5 Zimmer, 122 m², CHF 3180.—Sunnenbergstrasse 15, 8633 Wolfhausen, ZH«Grosse Galerie, Terrasse mit Pergola, Berg- und Seesicht»In Wolfhausen, eingebettet in die sanften Hügel über dem Zürichsee vermieten wir per 1. Oktober 2022 diese Maisonette-Dachwohnung, welche mit folgender Ausstattung überzeugt:Grosse Terrasse mit Pergola, See-/Weitsicht und viel Sonnenschein garantiertLichtdurchflutete GalerieSchlafzimmer mit Zugang ins Bad mit Dusche und WCEin weiteres Schlafzimmer mit einem EinbauschrankSeparate Nasszelle mit Eckbadewanne und WCTopmoderne Küche mit sämtlichen KomfortOffenes Wohn- und EsszimmerDie Nasszellen und die Küche sind mit Feinsteinzeugplatten und der re",3.5,122,3180
1662023745-820,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=23,"2,5 Zimmer, 78 m², CHF 3760.—","Lavaterstr. 63, 8002 Zürich, ZH",CHF 3760.—,«Wunderschöne Wohnung im Enge-Quartier»,"2,5 Zimmer, 78 m², CHF 3760.—Lavaterstr. 63, 8002 Zürich, ZH«Wunderschöne Wohnung im Enge-Quartier»Träumen Sie von einer Jugendstil-Wohnung in der Enge? Wir bieten diese wunderschöne Wohnung per 01. Oktober 2022 an.Die Wohnung überzeugt mit folgenden Attributen:- Riemenparkett (Echt Holz)- Moderne Küche mit Granitabdeckung- Badezimmer mit Handtuchradiator, Dusche und Badewanne- Moderne und hochwertige Materialien- Waschturm im Badezimmer- Balkon- Badezimmer mit Tageslicht Der See, Einkaufsmöglichkeiten, Restaurants und der Bahnhof Enge, sowie der Autobahnanschluss sind innert wenigen Minuten erreichbar.**Standardbilder**Anbieter kontaktierenKontaktieren",2.5,78,3760
1662023742-807,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=24,"5,5 Zimmer, 115 m², CHF 2860.—","Langfurrenstrasse 5c, 8623 Wetzikon ZH, ZH",CHF 2860.—,«Wohnmomente zum Festhalten»,"5,5 Zimmer, 115 m², CHF 2860.—Langfurrenstrasse 5c, 8623 Wetzikon ZH, ZH«Wohnmomente zum Festhalten»Das neue Zuhause für Sie und Ihre Familie! Im Bachtelblick Wetzikon entstehen insgesamt 60 Neubauwohnungen, die per 1. Februar 2023 bezugsbereit sind. Nebst dem attraktiven Grundriss überzeugt die parkähnliche Anlage des Bachtelblick mit Ihren Spiel- sowie Verweilmöglichkeiten. Alle Details zum Projekt finden Sie auf der Webseite www.bachtelblick.ch. Die 5.5-Zimmer-Wohnungen bieten:Moderne Küche inkl. Induktionskochfeld, Backofen, Geschirrspüler und Kühlschrank mit KühlgefrierkombinationEdler Eichenparkettboden (Fussbodenheizung)Eigener Waschtu",5.5,115,2860
1662023804-1290,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=4,"3,5 Zimmer, 74 m², CHF 2165.—","Sandbuckweg 5A, 8157 Dielsdorf, ZH",CHF 2165.—,"«3,5 pièces, 74 m²»","top3,5 Zimmer, 74 m², CHF 2165.—Sandbuckweg 5A, 8157 Dielsdorf, ZH«3,5 pièces, 74 m²»""Grosse Terrasse mit herrlicher Aussicht und ganztags sonnig!""An erhöhter und sonniger Lage in der ländlichen Gemeinde Dielsdorf. Oder nach Vereinbarung exclusive 3,5-Zimmer per 01. Oktober 2022   Das Mehrfamilienhaus mit Flachdach besticht durch die klare Architektur. Perfekt eingepasst in die Umgebung, überzeugt der hochwertige Bau mit einem selbstbewussten und harmonischen Erscheinungsbild. In Dielsdorf und Umgebung geniessen Sie die ruhige und entspannte Wohnlage, die Nähe zum Flughafen bringt viele Vorteile wie diverse Geschäfte, grosszügi",3.5,74,2165
1662023739-771,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=25,"5,5 Zimmer, 195 m², CHF 6900.—","Parkring 59, 8002 Zürich, ZH",CHF 6900.—,«Wohnanlage Im Parkring - Exklusive Wohnung zu vermieten»,"5,5 Zimmer, 195 m², CHF 6900.—Parkring 59, 8002 Zürich, ZH«Wohnanlage Im Parkring - Exklusive Wohnung zu vermieten»Die Wohnanlage Parkring befindet sich in unmittelbarer Nähe zum Hürlimann-Areal. In wenigen Gehminuten sind der Bahnhof Enge sowie Tram-/Buslinien, Poststelle und verschiedene Einkaufsmöglichkeiten erreichbar. Zur Einkaufsmeile ""Bahnhofstrasse"" sind es ca. 15 Minuten zu Fuss. Die rund 195m2 grosse Wohneinheit strahlt ein vornehmes Ambiente aus und ist wie folgt ausgestattet:Grosser Eingangsbereich mit Garderobe, Gegensprechanlage mit Videofunktion, Doppelglastüre zum Wohn-/Essbereich, Cheminée mit Umluftfunktion, elektrische Rollläden, direktem",5.5,195,6900
1662023707-544,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=35,"2 Zimmer, 47 m², CHF 1400.—","Ifangweg 1, 8610 Uster, ZH",CHF 1400.—,«OHNE MIETKAUTION - Super ruhige ländliche Lage»,"2 Zimmer, 47 m², CHF 1400.—Ifangweg 1, 8610 Uster, ZH«OHNE MIETKAUTION - Super ruhige ländliche Lage»Die 2-Zimmerwohnung bietet folgende Merkmale:- Wohnbereich Parkett- Küche mit Geschirrspüler und Glaskeramikherd- Schönes, modernes Bad- Helle Räume- Wandschrank Korridor- Balkon- Quartier ""Gschwader""- Bus in unmittelbarer Nähe- Gepflegte Ueberbauung- KellerabteilBilder zeigen den Standard.Wir freuen uns auf Ihre Kontaktaufnahme!Anbieter kontaktierenKontaktieren",2.0,47,1400
1662023720-640,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=31,"2,5 Zimmer, 59 m², CHF 2920.—","Flobotstrasse 2, 8044 Zürich, ZH",CHF 2920.—,«Erstvermietung am Zürichberg: Charmante 2.5-Zimmerwohnung im 2. OG»,"2,5 Zimmer, 59 m², CHF 2920.—Flobotstrasse 2, 8044 Zürich, ZH«Erstvermietung am Zürichberg: Charmante 2.5-Zimmerwohnung im 2. OG»Dieses im Jahr 1933 errichtete Mehrfamilienhaus wurde kernsaniert und bietet stilvollen Wohnraum im beliebten Quartier Fluntern. Die Flobotstrasse liegt am oberen Ende des Zürichbergs und grenzt daher unmittelbar an diverse Erholungsgebiete mit Spazier- und Wanderwegen, Vita-Parcours, Golfplatz, Schwimmbad und natürlich dem Zürich Zoo. Die Tram- und Bushaltestelle ist nur 200 Meter entfernt; der Hauptbahnhof Zürich ist mit dem ÖV in 20 Minuten, mit dem Auto je nach Verkehr in ca. 10 Minuten zu erreichen.Die Wohnung, ausgestattet mit hochwertigeAnbieter kontaktierenKontaktieren",2.5,59,2920
1662023686-384,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=42,"3 Zimmer, 75 m², CHF 3003.—","Hinterbergstrasse 57, 8044 Zürich, ZH",CHF 3003.—,«Erstvermietung nach Total-Sanierung: 3-Zimmerwohnung am ruhigen und sonnigen Zürichberg!»,"3 Zimmer, 75 m², CHF 3003.—Hinterbergstrasse 57, 8044 Zürich, ZH«Erstvermietung nach Total-Sanierung: 3-Zimmerwohnung am ruhigen und sonnigen Zürichberg!»Erstvermietung nach Total-Sanierung:4 Wohnungen am ruhigen und sonnigen Zürichberg!Am sonnigen Zürichberg im Quartier Fluntern-Zürich erwartet sie dieses einmalige, ruhige und ausserordentliche Wohnerlebnis in einer romantischen Idylle, mit Blick auf den Zürichsee und die Alpen.Die Hinterbergstrasse endet an der Adresse der Liegenschaft mit einer Sackgasse ? es stört sie kein Durchgangsverkehr in ihrem neuen Zuhause.Das Objekt hat eine historisch spannende Geschichte mit einer ersten Erwähnung der Liegenschaft Nr. 59 im Jahr 1570. Danach wurde Anbieter kontaktierenKontaktieren",3.0,75,3003
1662023758-929,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=19,"4,5 Zimmer, 97 m², CHF 1770.—","Frohbergstr. 7, 8162 Steinmaur, ZH",CHF 1770.—,«Neues Zuhause für Sie und Ihre Kinder»,"4,5 Zimmer, 97 m², CHF 1770.—Frohbergstr. 7, 8162 Steinmaur, ZH«Neues Zuhause für Sie und Ihre Kinder»Möchten Sie zentrumsnah und trotzdem in einer Umgebung mit viel Grün leben? In dieser Wohnung fühlt sich die ganze Familie wohl. Ihre Kinder können sich auf den grosszügig angelegten Spielplatz freuen. Angenehm für Sie sind die Anbindung der Wohnsiedlung an den öffentlichen Verkehr und die nahegelegenen Einkaufsmöglichkeiten.  Für Ihre Wohnqualität: - Offene Küche mit Glaskeramikherd und Geschirrspüler - Sämtlicher Wohnbereich mit Parkettboden - Badezimmer mit Doppellavabo und Badewanne - Separates WC - Gemütlicher Sitzplatz Die Liegenschaft ve",4.5,97,1770
1662023727-685,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=29,"4,5 Zimmer, 124 m², CHF 4460.—","8306 Brüttisellen, ZH",CHF 4460.—,"«MODERN, HELL MIT PANORAMASICHT ÜBERS GLATTAL»","4,5 Zimmer, 124 m², CHF 4460.—8306 Brüttisellen, ZH«MODERN, HELL MIT PANORAMASICHT ÜBERS GLATTAL»Die moderne und helle Attikawohnung besticht durch viel Lichteinfluss, wie auch Platz und eine grosszügige Terrasse mit Panoramasicht über das Glattal. Drei Schlafzimmer, wovon eines ein en suite Badezimmer verfügt. An wunderbarer Hanglage wird Wohnen zum Privileg. Eine sehr gute Anbindung an den öffentlichen Verkehr, Nicht zuletzt trägt auch der moderate Steuerfuss von 96% (ohne Kirche) dazu bei. Das Quartier und die angrenzende Natur, ist ein schöner Rückzugsort für Naturfreunde und solche, die es noch werden wollen.Dieses BETTERHOMES-AngebotAnbieter kontaktierenKontaktieren",4.5,124,4460
